Latitude,Longitude,CurrentSpeed,FreeFlowSpeed,Confidence,Hour,Minute,DayOfWeek,Weekend,CongestionRatio
10.865229381280965,106.72366973948475,35,49,1.0,13,52,7,1,0.7143
10.77847212665258,106.69389510879643,27,41,1.0,14,36,7,1,0.6585
10.786216596454727,106.71836665482695,40,40,1.0,16,6,7,1,1.0
10.756158554057757,106.66631758181126,22,30,1.0,16,22,7,1,0.7333
10.78866360854368,106.69551372228901,31,41,1.0,17,14,7,1,0.7561
10.796057790235078,106.67492629345334,21,34,0.997914,17,27,7,1,0.6176
10.745754766198267,106.65326266831877,37,42,1.0,18,5,7,1,0.881
10.782680856341083,106.70051548181169,16,30,1.0,18,30,7,1,0.5333
10.77898143649726,106.67684447140958,22,35,1.0,19,20,7,1,0.6286
10.741860769464234,106.73790365482627,45,45,1.0,19,27,7,1,1.0
10.772727584493625,106.69804225297563,10,24,0.960615,19,31,7,1,0.4167
10.755608615763382,106.67347943578082,15,27,1.0,21,16,7,1,0.5556
10.772727584493625,106.69804225297563,12,24,0.965655,21,19,7,1,0.5
10.754895139302109,106.67839188181134,21,33,1.0,21,40,7,1,0.6364
10.78948793356203,106.71518838181179,36,36,1.0,22,19,7,1,1.0
10.880537767027526,106.81481342866444,53,53,1.0,22,25,7,1,1.0
10.786216596454727,106.71836665482695,40,40,1.0,22,38,7,1,1.0
10.77898143649726,106.67684447140958,28,34,0.992146,23,1,7,1,0.8235
10.813928881466124,106.66511432455972,26,34,0.999528,23,9,7,1,0.7647
10.94927106740351,106.87196348224562,42,42,1.0,23,27,7,1,1.0
10.755608615763382,106.67347943578082,21,28,1.0,23,28,7,1,0.75
10.785070445194592,106.68331340921323,16,27,1.0,8,5,5,0,0.5926
10.865229381280965,106.72366973948475,35,49,1.0,9,34,5,0,0.7143
10.843150534972033,106.6151343241409,22,35,1.0,9,46,5,0,0.6286
10.801406421807085,106.71148440879679,34,42,1.0,10,53,5,0,0.8095
10.772727584493625,106.69804225297563,14,24,0.998765,11,5,5,0,0.5833
10.798986343749618,106.72697056646841,45,45,1.0,12,2,5,0,1.0
10.94927106740351,106.87196348224562,29,42,1.0,12,5,5,0,0.6905
10.745754766198267,106.65326266831877,35,43,1.0,13,50,5,0,0.814
10.786216596454727,106.71836665482695,40,40,1.0,15,17,5,0,1.0
10.798986343749618,106.72697056646841,45,45,1.0,16,14,5,0,1.0
10.782680856341083,106.70051548181169,15,30,1.0,17,10,5,0,0.5
10.80223925742187,106.6478722259914,22,41,1.0,18,2,5,0,0.5366
10.754895139302109,106.67839188181134,18,33,1.0,18,27,5,0,0.5455
10.756158554057757,106.66631758181126,19,30,1.0,19,9,5,0,0.6333
10.754895139302109,106.67839188181134,21,33,1.0,19,34,5,0,0.6364
10.752616652291238,106.72509685338922,36,41,1.0,21,7,5,0,0.878
10.772727584493625,106.69804225297563,13,23,1.0,9,17,5,0,0.5652
10.817236653231737,106.63191539530457,22,35,1.0,9,31,5,0,0.6286
10.823400120373712,106.68551227436063,20,31,1.0,10,2,5,0,0.6452
10.752408891679814,106.7022703818112,21,34,1.0,10,37,5,0,0.6176
10.817236653231737,106.63191539530457,22,35,1.0,10,42,5,0,0.6286
10.777562007197462,106.7041335430398,18,30,1.0,10,57,5,0,0.6
10.835298215641501,106.72935479345391,31,43,0.998524,11,6,5,0,0.7209
10.880537767027526,106.81481342866444,40,53,1.0,12,15,5,0,0.7547
10.817236653231737,106.63191539530457,24,35,1.0,13,25,5,0,0.6857
10.772727584493625,106.69804225297563,13,24,1.0,13,44,5,0,0.5417
10.77847212665258,106.69389510879643,29,42,1.0,13,50,5,0,0.6905
10.759484371982321,106.6840537511244,20,27,0.997886,14,18,5,0,0.7407
10.823400120373712,106.68551227436063,24,31,1.0,14,22,5,0,0.7742
10.817236653231737,106.63191539530457,23,35,1.0,14,27,5,0,0.6571
10.843150534972033,106.6151343241409,22,35,1.0,14,38,5,0,0.6286
10.83886351241477,106.67566625482782,27,36,1.0,15,10,5,0,0.75
10.80223925742187,106.6478722259914,28,41,1.0,15,46,5,0,0.6829
10.765187049751795,106.67550552599073,24,35,1.0,15,55,5,0,0.6857
10.77898143649726,106.67684447140958,24,34,1.0,16,3,5,0,0.7059
10.796057790235078,106.67492629345334,17,34,1.0,17,57,5,0,0.5
